종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"053290","NE능률","KOSDAQ","투자주의환기종목(소속부없음)","2590","0","0.00","2600","2610","2550","60827","156203225","42803135130","16526307"
"181710","NHN","KOSPI",,"29250","-150","-0.51","30200","30250","28900","57157","1675835825","987659097750","33766123"
"060250","NHN KCP","KOSDAQ","우량기업부","10810","-750","-6.49","12250","12250","10770","1096148","12363498980","434136204910","40160611"
"104200","NHN벅스","KOSDAQ","중견기업부","3100","-50","-1.59","3155","3155","3040","26059","80442010","45965405000","14827550"
"400760","NH올원리츠","KOSPI",,"3530","-20","-0.56","3550","3550","3530","62047","219409425","154500644640","43767888"
"005940","NH투자증권","KOSPI",,"19960","-140","-0.70","20100","20250","19820","467808","9343555750","6468762647800","324086305"
"005945","NH투자증권우","KOSPI",,"17830","-170","-0.94","18000","18020","17730","74647","1331426135","336469359440","18870968"
"338100","NH프라임리츠","KOSPI",,"4720","70","1.51","4655","4745","4655","109027","512213317","88075200000","18660000"
"034310","NICE","KOSPI",,"13070","-150","-1.13","13320","13320","12740","126090","1623554750","485268736940","37128442"
"063570","NICE인프라","KOSDAQ","우량기업부","4730","-10","-0.21","4740","4745","4665","44274","208102230","161518753440","34147728"
"030190","NICE평가정보","KOSPI",,"16860","120","0.72","16730","16900","16600","66329","1114185160","1003281157980","59506593"
"008260","NI스틸","KOSPI",,"3770","-40","-1.05","3790","3790","3710","31704","118455643","107822441090","28600117"
"004250","NPC","KOSPI",,"4380","-35","-0.79","4415","4510","4320","33912","148038400","160833600000","36720000"
"004255","NPC우","KOSPI",,"2625","35","1.35","2595","2650","2575","5447","14221545","13860000000","5280000"
"222160","NPX","KOSDAQ","관리종목(소속부없음)","8040","0","0.00","0","0","0","0","0","79551289560","9894439"
"456040","OCI","KOSPI",,"57000","100","0.18","57800","57800","56000","34894","1978323500","510292215000","8952495"
"010060","OCI홀딩스","KOSPI",,"75600","-200","-0.26","76600","77200","74200","81354","6116339650","1422407725200","18814917"
"178920","PI첨단소재","KOSPI",,"18200","110","0.61","18000","18240","17700","96389","1727052940","534467060400","29366322"
"001340","PKC","KOSPI",,"5920","70","1.20","5870","5960","5770","80824","470866850","265916969440","44918407"
"024940","PN풍년","KOSDAQ","벤처기업부","4845","125","2.65","4720","4865","4640","142689","680706347","48450000000","10000000"
"005490","POSCO홀딩스","KOSPI",,"281500","5500","1.99","278500","281500","274000","348897","97169371500","22782625988000","80932952"
"332570","PS일렉트로닉스","KOSDAQ","벤처기업부","3170","-50","-1.55","3225","3240","3115","511029","1619831863","140038934400","44176320"
"218410","RFHIC","KOSDAQ","우량기업부","26650","-1350","-4.82","27750","28000","26550","238601","6420914525","705810379300","26484442"
"327260","RF머트리얼즈","KOSDAQ","중견기업부","5840","-160","-2.67","6000","6020","5730","22369","130636190","49250069040","8433231"
"474610","RF시스템즈","KOSDAQ","벤처기업부","4740","-220","-4.44","5070","5070","4710","322607","1561609792","63251138280","13344122"
"091340","S&K폴리텍","KOSDAQ","중견기업부","2870","-25","-0.86","2895","2895","2805","33071","93646520","33589679270","11703721"
"010950","S-Oil","KOSPI",,"62200","400","0.65","60900","62400","60500","237379","14553558650","7002649662400","112582792"
"010955","S-Oil우","KOSPI",,"40450","-100","-0.25","40550","40550","39800","11520","461098800","162686947150","4021927"
"419530","SAMG엔터","KOSDAQ","기술성장기업부","78200","-7800","-9.07","85400","88000","77600","429403","34208223700","691087026000","8837430"
"019550","SBI인베스트먼트","KOSDAQ","벤처기업부","802","-28","-3.37","833","833","793","948505","759532086","129977393150","162066575"
"950110","SBI핀테크솔루션즈","KOSDAQ","외국기업(소속부없음)","4930","0","0.00","0","0","0","0","0","118579022200","24052540"
"034120","SBS","KOSPI",,"25500","-550","-2.11","26200","26200","25400","35744","916052725","473056569000","18551238"
"003080","SB성보","KOSPI",,"2760","-5","-0.18","2765","2765","2735","31046","85295295","55255200000","20020000"
"246960","SCL사이언스","KOSDAQ","기술성장기업부","3155","-350","-9.99","3505","3550","3090","434135","1408137490","26752428125","8479375"
